name,lat,lon
Düsseldorf,51.224,6.78
Duisburg,51.433,6.765
Essen,51.456,7.013
Krefeld,51.333,6.561
Mönchengladbach,51.194,6.432
Mülheim an der Ruhr,51.428,6.885
Oberhausen,51.47,6.852
Remscheid,51.18,7.194
Solingen,51.172,7.083
Wuppertal,51.26,7.191
Bedburg-Hau,51.77,6.18
Emmerich am Rhein,51.831,6.243
Geldern,51.518,6.324
Goch,51.675,6.159
Issum,51.535,6.426
Kalkar,51.737,6.288
Kerken,51.453,6.398
Kevelaer,51.582,6.247
Kleve,51.788,6.139
Kranenburg,51.79,6.008
Rees,51.76,6.396
Rheurdt,51.467,6.47
Straelen,51.443,6.265
Uedem,51.668,6.273
Wachtendonk,51.408,6.343
Weeze,51.627,6.198
Erkrath,51.219,6.913
Haan,51.192,7.011
Heiligenhaus,51.326,6.967
Hilden,51.168,6.934
Langenfeld (Rhld.),51.107,6.949
Mettmann,51.252,6.979
Monheim am Rhein,51.092,6.893
Ratingen,51.297,6.85
Velbert,51.34,7.042
Wülfrath,51.281,7.033
Dormagen,51.093,6.842
Grevenbroich,51.091,6.583
Jüchen,51.101,6.504
Kaarst,51.232,6.614
Korschenbroich,51.191,6.515
Meerbusch,51.261,6.678
Neuss,51.199,6.691
Rommerskirchen,51.034,6.689
Brüggen,51.242,6.185
Grefrath,51.336,6.342
Kempen,51.364,6.419
Nettetal,51.328,6.246
Niederkrüchten,51.199,6.219
Schwalmtal,51.215,6.26
Tönisvorst,51.31,6.465
Viersen,51.253,6.393
Willich,51.263,6.55
Alpen,51.575,6.511
Dinslaken,51.562,6.735
Hamminkeln,51.731,6.589
Hünxe,51.642,6.766
Kamp-Lintfort,51.501,6.55
Moers,51.454,6.628
Neukirchen-Vluyn,51.445,6.568
Rheinberg,51.545,6.603
Schermbeck,51.694,6.874
Sonsbeck,51.608,6.376
Voerde (Niederrhein),51.596,6.685
Wesel,51.657,6.617
Xanten,51.662,6.453
Bonn,50.734,7.099
Köln,50.938,6.957
Leverkusen,51.028,6.994
Aachen,50.774,6.085
Alsdorf,50.874,6.162
Baesweiler,50.907,6.181
Eschweiler,50.817,6.267
Herzogenrath,50.866,6.089
Monschau,50.555,6.239
Roetgen,50.649,6.196
Simmerath,50.606,6.301
Stolberg (Rhld.),50.772,6.227
Würselen,50.821,6.13
Aldenhoven,50.896,6.282
Düren,50.802,6.483
Heimbach,50.633,6.481
Hürtgenwald,50.717,6.38
Inden,50.847,6.358
Jülich,50.923,6.358
Kreuzau,50.746,6.489
Langerwehe,50.818,6.36
Linnich,50.979,6.267
Merzenich,50.829,6.525
Nideggen,50.691,6.485
Niederzier,50.886,6.462
Nörvenich,50.807,6.645
Titz,51.007,6.429
Vettweiß,50.739,6.598
Bedburg,50.992,6.572
Bergheim,50.955,6.64
Brühl,50.829,6.902
Elsdorf,50.936,6.568
Erftstadt,50.811,6.776
Frechen,50.91,6.811
Hürth,50.869,6.865
Kerpen,50.87,6.695
Pulheim,50.998,6.801
Wesseling,50.824,6.98
Bad Münstereifel,50.557,6.765
Blankenheim,50.439,6.645
Dahlem,50.386,6.547
Euskirchen,50.661,6.786
Hellenthal,50.49,6.434
Kall,50.542,6.559
Mechernich,50.589,6.654
Nettersheim,50.492,6.628
Schleiden,50.53,6.476
Weilerswist,50.756,6.84
Zülpich,50.693,6.652
Erkelenz,51.079,6.314
Gangelt,50.993,5.997
Geilenkirchen,50.965,6.12
Heinsberg,51.062,6.095
Hückelhoven,51.057,6.222
Selfkant,51.026,5.917
Übach-Palenberg,50.919,6.119
Waldfeucht,51.066,5.988
Wassenberg,51.1,6.155
Wegberg,51.14,6.277
Bergneustadt,51.021,7.648
Engelskirchen,50.988,7.409
Gummersbach,51.028,7.568
Hückeswagen,51.149,7.335
Lindlar,51.02,7.376
Marienheide,51.084,7.531
Morsbach,50.864,7.727
Nümbrecht,50.902,7.541
Radevormwald,51.203,7.355
Reichshof,50.955,7.694
Waldbröl,50.877,7.617
Wiehl,50.95,7.547
Wipperfürth,51.117,7.399
Bergisch Gladbach,50.992,7.136
Burscheid,51.086,7.114
Kürten,51.052,7.264
Leichlingen (Rhld.),51.106,7.014
Odenthal,51.033,7.117
Overath,50.933,7.282
