state,ags,name,plz,lon,lat,search
01,01001000,Flensburg,24937,9.438,54.783,flensburg
01,01002000,Kiel,24103,10.137,54.322,kiel
01,01003000,Lübeck,23539,10.684,53.866,lübeck
01,01004000,Neumünster,24534,9.988,54.07,neumünster
01,01051011,Brunsbüttel,25541,9.127,53.897,brunsbüttel
01,01051044,Heide,25746,9.095,54.196,heide
01,01051003,Averlak,25715,9.183,53.941,averlak
01,01051010,Brickeln,25712,9.221,54.008,brickeln
01,01051012,Buchholz,25712,9.224,53.987,buchholz
01,01051016,Burg (Dithmarschen),25712,9.258,53.996,burg (dithmarschen)
01,01051022,Dingen,25715,9.126,53.961,dingen
01,01051024,Eddelak,25715,9.138,53.946,eddelak
01,01051026,Eggstedt,25721,9.259,54.055,eggstedt
01,01051032,Frestedt,25727,9.176,54.024,frestedt
01,01051037,Großenrade,25712,9.223,54.022,großenrade
01,01051051,Hochdonn,25712,9.293,54.02,hochdonn
01,01051064,Kuden,25712,9.193,53.968,kuden
01,01051089,Quickborn,25712,9.207,54.01,quickborn
01,01051097,Sankt Michaelisdonn,25693,9.122,53.994,sankt michaelisdonn
01,01051110,Süderhastedt,25727,9.209,54.05,süderhastedt
01,01051021,Diekhusen-Fahrstedt,25709,9.028,53.942,diekhusen-fahrstedt
01,01051034,Friedrichskoog,25718,8.897,54.014,friedrichskoog
01,01051046,Helse,25709,9.01,53.978,helse
01,01051057,Kaiser-Wilhelm-Koog,25709,8.926,53.943,kaiser-wilhelm-koog
01,01051062,Kronprinzenkoog,25709,8.964,53.972,kronprinzenkoog
01,01051072,Marne,25709,9.009,53.954,marne
01,01051073,Marnerdeich,25709,8.983,53.948,marnerdeich
01,01051076,Neufeld,25724,9.019,53.907,neufeld
01,01051077,Neufelderkoog,25724,8.969,53.907,neufelderkoog
01,01051090,Ramhusen,25715,9.091,53.941,ramhusen
01,01051103,Schmedeswurth,25724,9.04,53.926,schmedeswurth
01,01051118,Trennewurth,25693,9.027,54.0,trennewurth
01,01051119,Volsemenhusen,25693,9.066,53.968,volsemenhusen
01,01051005,Barkenholm,25791,9.174,54.237,barkenholm
01,01051008,Bergewöhrden,25779,9.209,54.318,bergewöhrden
01,01051019,Dellstedt,25786,9.369,54.238,dellstedt
01,01051020,Delve,25788,9.252,54.304,delve
01,01051023,Dörpling,25794,9.302,54.261,dörpling
01,01051030,Fedderingen,25779,9.133,54.281,fedderingen
01,01051035,Gaushorn,25782,9.225,54.195,gaushorn
01,01051036,Glüsing,25779,9.216,54.275,glüsing
01,01051038,Groven,25774,8.989,54.3,groven
01,01051047,Hemme,25774,9.011,54.28,hemme
01,01051049,Hennstedt,25779,9.168,54.284,hennstedt
01,01051052,Hövede,25782,9.293,54.244,hövede
01,01051053,Hollingstedt,25788,9.227,54.291,hollingstedt
01,01051058,Karolinenkoog,25774,8.965,54.292,karolinenkoog
01,01051060,Kleve,25779,9.123,54.296,kleve
01,01051061,Krempel,25774,9.028,54.32,krempel
01,01051065,Lehe,25774,9.025,54.344,lehe
01,01051068,Linden,25791,9.182,54.253,linden
01,01051071,Lunden,25774,9.024,54.331,lunden
01,01051080,Norderheistedt,25779,9.146,54.245,norderheistedt
01,01051088,Pahlen,25794,9.296,54.268,pahlen
01,01051092,Rehm-Flehde-Bargen,25776,9.038,54.292,rehm-flehde-bargen
01,01051096,Sankt Annen,25776,9.08,54.345,sankt annen
01,01051100,Schalkholz,25782,9.257,54.246,schalkholz
01,01051102,Schlichting,25779,9.089,54.31,schlichting
01,01051114,Tellingstedt,25782,9.282,54.22,tellingstedt
01,01051117,Tielenhemme,25794,9.379,54.269,tielenhemme
01,01051120,Wallen,25788,9.27,54.285,wallen
01,01051125,Welmbüttel,25782,9.247,54.197,welmbüttel
01,01051131,Westerborstel,25782,9.261,54.22,westerborstel
01,01051133,Wiemerstedt,25779,9.111,54.269,wiemerstedt
01,01051136,Wrohm,25799,9.38,54.213,wrohm
01,01051139,Süderdorf,25782,9.344,54.207,süderdorf
