name,schulform,stadt,standorttyp,lat,lon,street,plz,data_2014
Anne-Frank-Gesamtchule,Gesamtschule,Dortmund,5,51.531,7.464,Burgholzstraße 120,44145,0
Gesamtschule Brünninghausen,Gesamtschule,Dortmund,3,51.48,7.456,Klüsenerskamp 15,44225,0
Europaschule,Gesamtschule,Dortmund,3,51.511,7.532,Am Gottesacker 64,44143,0
Gesamtschule Gartenstadt,Gesamtschule,Dortmund,5,51.499,7.503,Hueckstraße 25/26,44141,0
Geschwister-Scholl-Gesamtschule ,Gesamtschule,Dortmund,3,51.53,7.553,Haferfeldstraße 3-5,44309,0
Gustav-Heinemann-Gesamtschule,Gesamtschule,Dortmund,5,51.533,7.406,Parsevalstraße 170,44369,0
Heinrich-Böll-Gesamtschule,Gesamtschule,Dortmund,4,51.503,7.335,Volksgartenstraße 19,44388,0
Martin-Luther-King-Gesamtschule,Gesamtschule,Dortmund,5,51.502,7.405,Fine Frau 50-58,44149,0
Gesamtschule Scharnhorst,Gesamtschule,Dortmund,5,51.551,7.545,Mackenrothweg 15,44328,0
Hauptschule Am Externberg,Hauptschule,Dortmund,5,51.555,7.468,Evinger Parkweg 10,44339,0
Emscherschule Aplerbeck,Hauptschule,Dortmund,4,51.491,7.559,Schweizer Allee 25,44287,0
Hauptschule Kley,Hauptschule,Dortmund,3,51.512,7.45,Möllerstraße 3,44137,0
Konrad-von-der-Mark-Schule (Hauptschule Hörde),Hauptschule,Dortmund,4,51.479,7.492,Stettiner Str. 10,44263,0
Hauptschule Scharnhorst,Hauptschule,Dortmund,5,51.554,7.531,Meuselwitzstraße 43,44328,0
Schule am Hafen,Hauptschule,Dortmund,5,51.525,7.449,Lützowstraße 75,44147,0
Hauptschule Westerfilde,Hauptschule,Dortmund,4,51.545,7.369,Im Odemsloh 107,44357,0
Bert-Brecht-Gymnasium,Gymnasium,Dortmund,4,51.518,7.361,Sumbecks Holz 5,44379,0
Goethe-Gymnasium,Gymnasium,Dortmund,3,51.48,7.492,Stettiner Str. 12,44263,0
