id,name,city,council,date,value,lat,lon,kind,area
100135651,WF 1F   OVENSTAEDT,Petershagen,Detmold,2015-04-16,281.0,52.424,8.9666,GW-Messstelle,Acker
20101120,I/8C ML Oesterwiehe,Verl,Detmold,2015-08-06,270.8,51.8417,8.5361,GW-Messstelle,Acker
80201570,FLOTHEND 200,Nettetal,Düsseldorf,2015-08-27,234.5,51.2959,6.2711,GW-Messstelle,Acker
110200408,TE/40 Wechte,Lengerich,Münster,2015-10-29,202.7,52.1851,7.7668,GW-Messstelle,Acker
219483218,Nörvenich 2,Nörvenich,Köln,2015-12-08,187.6,50.8031,6.6466,GW-Messstelle,"bebaut, besiedelt"
110200251,TE/25 IBBENBUEREN,Ibbenbüren,Münster,2015-12-08,183.6,52.2831,7.6663,GW-Messstelle,Acker
219602815,Schalbruch,Selfkant,Köln,2015-06-08,182.7,51.0565,5.9185,GW-Messstelle,Acker
26531100,"103_ 4,0m Ml OL",Delbrück,Detmold,2015-08-04,182.7,51.7549,8.6159,GW-Messstelle,Acker
110200214,TE/21 -SCHALE-,Hopsten,Münster,2015-03-30,180.1,52.4378,7.6103,GW-Messstelle,Acker
110220791,HS/79 -FLAMSCHEN-,Coesfeld,Münster,2015-12-07,178.3,51.915,7.1497,GW-Messstelle,Acker
26541130,"769-5,5m ML Pavenst",Gütersloh,Detmold,2015-09-29,176.5,51.9061,8.339,GW-Messstelle,Acker
10202810,HERBACH,Herzogenrath,Köln,2015-04-09,176.1,50.9079,6.1077,GW-Messstelle,Acker
26541129,"769-4,0m MLPavenst",Gütersloh,Detmold,2015-09-29,167.3,51.9061,8.339,GW-Messstelle,Acker
219602712,Havert,Selfkant,Köln,2015-06-08,165.0,51.0415,5.9297,GW-Messstelle,Acker
110070057,VII/5 -SENDENHORST-,Sendenhorst,Münster,2015-11-12,163.3,51.8439,7.8075,GW-Messstelle,Acker
70203817,LGD Sechtem Plantag,Bornheim,Köln,2015-05-28,162.4,50.7811,6.9411,GW-Messstelle,Acker
80302555,UEDEM    GRILLPLATZ,Uedem,Düsseldorf,2015-08-24,158.8,51.6691,6.2334,GW-Messstelle,Acker
80301850,MODELLFLUGPLATZ 333,Nettetal,Düsseldorf,2015-07-07,156.2,51.3,6.2139,GW-Messstelle,Acker
80302154,BOEKHOLT HILDEBRAND,Straelen,Düsseldorf,2015-06-23,154.0,51.4271,6.291,GW-Messstelle,Acker
110210190,ST.GEB/19 Leversum,Lüdinghausen,Münster,2015-11-18,152.2,51.7709,7.3764,GW-Messstelle,Acker
219671916,Merzbrück,Würselen,Köln,2015-10-05,149.1,50.8321,6.1888,GW-Messstelle,Acker
70203416,LGD BORNHEIM B4/99,Bornheim,Köln,2015-05-26,147.8,50.7727,7.0038,GW-Messstelle,Acker
60230113,BO/11 BORKENWIRTHE,Borken,Münster,2015-06-22,146.9,51.8893,6.7769,GW-Messstelle,Acker
20104315,VI/5 M Versmold,Versmold,Detmold,2015-07-14,146.5,52.0065,8.1708,GW-Messstelle,Grünland
110070094,VII/9 -ALBERSLOH-,Sendenhorst,Münster,2015-12-08,146.5,51.8691,7.7133,GW-Messstelle,Acker
32502643,UWB-Ddorf 00213,Düsseldorf,Düsseldorf,2016-01-06,146.0,51.1546,6.8092,Vertikalfilterbrunnen (Bohrbrunnen),Acker
110200330,TE/33 Schlickelde,Ibbenbüren,Münster,2015-03-17,145.1,52.3332,7.7227,GW-Messstelle,Acker
100140749,WG 68    BARTLING,Minden,Detmold,2015-04-16,144.2,52.3617,8.8716,GW-Messstelle,Acker
10421415,Mariaschacht P5,Stolberg (Rhld.),Köln,2015-06-10,143.9,50.7526,6.2712,GW-Messstelle,Grünland
106530288,"BS 1 ML  -05,50 NOR",Bad Salzuflen,Detmold,2015-10-05,142.0,52.0247,8.7578,GW-Messstelle,Acker
110200081,TE/8 -BEVERGERN-,Hörstel,Münster,2015-11-02,141.6,52.2581,7.5841,GW-Messstelle,Acker
