id,name,city,council,date,value,lat,lon,year,mean,kind,area
20060208,VI/20   VERSMOLD,Versmold,Detmold,2016-04-14,39.8,52.043,8.0933,2016,7.1,GW-Messstelle,Acker
73779817,WBV THOMASBERG P 15,Königswinter,Köln,2016-04-12,61.9,50.7066,7.2551,2016,76.1,GW-Messstelle,Grünland
73779210,WBV THOMASBERG P 9,Königswinter,Köln,2016-04-12,34.1,50.7043,7.2329,2016,35.3,GW-Messstelle,"bebaut, besiedelt"
70202515,LGD KALDAUEN MUEHLE,Siegburg,Köln,2016-04-11,8.4,50.7988,7.2403,2016,9.7,GW-Messstelle,Wald
73779118,WBV THOMASBERG P 8,Königswinter,Köln,2016-04-07,10.6,50.7069,7.2372,2016,14.4,GW-Messstelle,Wald
70201419,LGD NPLEIS Hauptstr,Sankt Augustin,Köln,2016-04-05,19.0,50.7704,7.2033,2016,21.0,GW-Messstelle,"bebaut, besiedelt"
70204410,LGD Siegb. Berl.Pl.,Siegburg,Köln,2016-04-05,22.1,50.7952,7.2004,2016,25.0,GW-Messstelle,"bebaut, besiedelt"
10406347,Overhuesallee P 4,Düren,Köln,2016-04-04,11.7,50.7923,6.4743,2016,11.7,GW-Messstelle,Grünland
10406359,Overhuesallee P 5,Düren,Köln,2016-04-04,9.4,50.7909,6.4781,2016,9.4,GW-Messstelle,"bebaut, besiedelt"
10406360,Overhuesallee P 6,Düren,Köln,2016-04-04,7.4,50.791,6.4789,2016,7.4,GW-Messstelle,"bebaut, besiedelt"
10406372,Overhuesallee P 7,Düren,Köln,2016-04-04,1.0,50.7895,6.478,2016,1.0,GW-Messstelle,"bebaut, besiedelt"
10406396,Overhuesallee P 9,Düren,Köln,2016-04-04,13.1,50.7881,6.4745,2016,13.1,GW-Messstelle,"bebaut, besiedelt"
10406402,Overhuesallee P 10,Düren,Köln,2016-04-04,23.8,50.789,6.4707,2016,23.8,GW-Messstelle,"bebaut, besiedelt"
10406335,Overhuesallee P 3,Düren,Köln,2016-04-04,7.4,50.7918,6.4777,2016,7.4,GW-Messstelle,"bebaut, besiedelt"
70201316,LGD Menden Siegstr.,Sankt Augustin,Köln,2016-04-04,37.2,50.7816,7.1689,2016,38.7,GW-Messstelle,Acker
70201810,LGD HANGEL.FRIEDHOF,Sankt Augustin,Köln,2016-04-04,21.2,50.7638,7.1653,2016,26.4,GW-Messstelle,"bebaut, besiedelt"
70276018,LGD BN-RUENGSDORF,Bonn,Köln,2016-03-29,35.8,50.6798,7.1741,2016,38.3,GW-Messstelle,"bebaut, besiedelt"
73737288,WG GROSSHAMBERG QF,Burscheid,Köln,2016-03-24,41.2,51.0786,7.0693,2016,36.3,gefasste Quelle,Grünland
76734985,PGHM.WELTERSB. SS,Leichlingen (Rhld.),Köln,2016-03-24,48.7,51.111,7.0768,2016,58.5,Sammelschacht,Acker
76956805,Westermann Lev EB 9,Leverkusen,Köln,2016-03-24,20.8,51.0601,7.0275,2016,21.3,Vertikalfilterbrunnen (Bohrbrunnen),"bebaut, besiedelt"
76727609,KRONENBG. LEICHL EB,Leichlingen (Rhld.),Köln,2016-03-24,1.3,51.1098,7.0027,2016,5.7,Schachtbrunnen,"bebaut, besiedelt"
73726000,IFANG EB,Ruppichteroth,Köln,2016-03-23,12.4,50.8394,7.496,2016,11.8,Schachtbrunnen,Grünland
100135020,PH1002   PAEPINGHSN,Minden,Detmold,2016-03-23,25.7,52.3201,8.9803,2016,28.3,GW-Messstelle,Acker
73775484,WG ROELEFELD,Waldbröl,Köln,2016-03-23,7.5,50.9229,7.6259,2016,9.2,gefasste Quelle,Wald
73726680,GIESSELBACH QF,Ruppichteroth,Köln,2016-03-23,17.7,50.8593,7.4616,2016,21.3,gefasste Quelle,Wald
100140920,BN 1     BASTAUNIED,Minden,Detmold,2016-03-23,1.4,52.2886,8.8518,2016,2.5,GW-Messstelle,Acker
73725900,GUT OMMEROTH EB,Windeck,Köln,2016-03-23,1.3,50.8337,7.561,2016,1.6,Schachtbrunnen,Wald
10202821,Orsbeck,Wassenberg,Köln,2016-03-17,101.8,51.0885,6.1656,2016,124.1,GW-Messstelle,Acker
10201282,OERATH,Erkelenz,Köln,2016-03-17,66.4,51.0969,6.3016,2016,49.9,GW-Messstelle,"bebaut, besiedelt"
70200816,LGD Widdig GEW 115,Bornheim,Köln,2016-03-15,19.2,50.7977,7.0226,2016,15.8,GW-Messstelle,"bebaut, besiedelt"
70201213,LGD Widdig GEW 132,Bornheim,Köln,2016-03-15,53.2,50.7882,7.0105,2016,63.2,GW-Messstelle,Acker
73725687,WBV GeilshsnStollen,Windeck,Köln,2016-03-14,1.6,50.7723,7.6326,2016,1.7,Sickerstollen,Grünland
73725500,WBV WILBERHOFEN EB,Windeck,Köln,2016-03-14,13.7,50.8051,7.5363,2016,16.0,Vertikalfilterbrunnen (Bohrbrunnen),Grünland
73725780,GEM.WINDECK,Windeck,Köln,2016-03-14,15.0,50.7868,7.6112,2016,18.5,gefasste Quelle,"bebaut, besiedelt"
80301721,FLUGPLATZ       320,Goch,Düsseldorf,2016-03-08,75.2,51.6914,6.109,2016,95.0,GW-Messstelle,Acker
73726280,WLV VELKEN QF,Ruppichteroth,Köln,2016-03-08,6.6,50.8423,7.5203,2016,3.3,gefasste Quelle,Wald
73726382,HUWIL-WERKE,Ruppichteroth,Köln,2016-03-08,19.0,50.846,7.4876,2016,18.8,Sickerstollen,"bebaut, besiedelt"
80303183,ERVSCHERWEG     381,Goch,Düsseldorf,2016-03-08,106.2,51.6795,6.1353,2016,99.0,GW-Messstelle,Acker
80302518,WILLICH   FESTPLATZ,Willich,Düsseldorf,2016-03-07,35.4,51.2651,6.543,2016,39.9,GW-Messstelle,Grünland
94160740,Quelle Kallenhardt,Rüthen,Arnsberg,2016-03-07,20.4,51.4527,8.4375,2016,31.7,gefasste Quelle,Acker
94160089,Quelle Rißnei,Rüthen,Arnsberg,2016-03-07,36.7,51.5058,8.4652,2016,39.1,gefasste Quelle,Acker
94160739,Quelle Altenrüthen,Rüthen,Arnsberg,2016-03-07,6.2,51.4922,8.4088,2016,12.4,ungefasste Quelle,Acker
80303262,DAIMLERSTRASSE  389,Neuss,Düsseldorf,2016-03-07,33.6,51.2263,6.6628,2016,29.9,GW-Messstelle,"bebaut, besiedelt"
10409038,Schevenquelle,Kall,Köln,2016-03-07,53.1,50.5623,6.5887,2016,53.4,gefasste Quelle,Acker
76809201,TUFFI SUELZ-EB,Kürten,Köln,2016-03-02,1.6,51.0075,7.2818,2016,1.7,Vertikalfilterbrunnen (Bohrbrunnen),"bebaut, besiedelt"
10202791,LOVERICH,Baesweiler,Köln,2016-02-29,84.1,50.9347,6.1904,2016,94.7,GW-Messstelle,"bebaut, besiedelt"
11002268,Brachelen Sp Pl,Hückelhoven,Köln,2016-02-29,44.2,51.0089,6.243,2016,50.9,GW-Messstelle,"bebaut, besiedelt"
86454328,E Chorbusch Br.1,Dormagen,Düsseldorf,2016-02-23,5.0,51.0523,6.8037,2016,3.7,Vertikalfilterbrunnen (Bohrbrunnen),Wald
100748454,KS 5 QU  Kalld.Satl,Kalletal,Detmold,2016-02-17,34.1,52.1381,8.9683,2016,31.6,gefasste Quelle,Wald
24170150,Hederquelle,Salzkotten,Detmold,2016-02-17,30.1,51.6536,8.6007,2016,23.1,ungefasste Quelle,Acker
24180920,Lippe-Quelle,Bad Lippspringe,Detmold,2016-02-17,22.1,51.7817,8.8226,2016,18.8,ungefasste Quelle,Acker
106500053,PIV33 QU PIVITSHEID,Detmold,Detmold,2016-02-17,14.6,51.9317,8.7663,2016,13.6,ungefasste Quelle,Wald
24180166,Qu Maspern-Pader,Paderborn,Detmold,2016-02-17,29.2,51.7222,8.7517,2016,26.1,gefasste Quelle,Acker
24180919,Jordanquelle,Bad Lippspringe,Detmold,2016-02-17,22.6,51.7846,8.826,2016,20.5,ungefasste Quelle,Acker
24180087,Storchenquelle,Borchen,Detmold,2016-01-28,34.1,51.6612,8.7377,2016,30.3,ungefasste Quelle,Acker
80301551,GRUNEWALD       303,Goch,Düsseldorf,2016-01-28,27.0,51.7222,6.0416,2016,25.4,GW-Messstelle,Wald
26500012,Q 25 Antonius Neuh,Bad Driburg,Detmold,2016-01-28,15.9,51.6859,9.0157,2016,17.4,ungefasste Quelle,Grünland
